block,timestamp,price,fees_usd,net_value_usd,fee_return_pct
293084159,1736292363,3389.23,0.00,3389.23,0.0000
293085187,1736292620,3384.25,0.01,3384.24,0.0003
293086218,1736292878,3387.16,0.02,3387.16,0.0007
293087234,1736293132,3388.67,0.03,3388.67,0.0008
293088235,1736293382,3388.44,0.03,3388.44,0.0008
293089273,1736293642,3379.23,0.05,3379.18,0.0014
293090274,1736293892,3378.68,0.05,3378.62,0.0016
293091283,1736294144,3379.69,0.06,3379.64,0.0019
293092299,1736294398,3378.48,0.08,3378.42,0.0023
293093310,1736294651,3379.82,0.11,3379.78,0.0033
293094363,1736294914,3392.14,0.14,3392.13,0.0042
293095372,1736295166,3398.28,0.17,3398.24,0.0049
293096372,1736295416,3403.55,0.18,3403.45,0.0053
293097380,1736295668,3403.58,0.20,3403.48,0.0059
293098383,1736295919,3407.13,0.21,3406.97,0.0062
293099447,1736296185,3401.74,0.22,3401.66,0.0066
293100452,1736296436,3405.10,0.25,3404.97,0.0074
293101457,1736296688,3407.98,0.26,3407.80,0.0076
293102497,1736296948,3410.11,0.27,3409.89,0.0079
293103636,1736297232,3407.83,0.28,3407.66,0.0082
293104813,1736297527,3412.66,0.29,3412.38,0.0084
293105841,1736297784,3410.85,0.29,3410.62,0.0087
293106935,1736298057,3407.71,0.31,3407.54,0.0090
293107998,1736298323,3398.39,0.32,3398.35,0.0095
293109046,1736298585,3404.98,0.34,3404.85,0.0101
293110048,1736298836,3397.51,0.36,3397.48,0.0105
293111051,1736299086,3397.33,0.37,3397.30,0.0109
293112274,1736299392,3402.23,0.38,3402.15,0.0113
293113566,1736299715,3398.20,0.39,3398.16,0.0115
293114689,1736299996,3400.67,0.41,3400.61,0.0121
293115728,1736300256,3390.06,0.43,3390.06,0.0126
293116733,1736300507,3387.01,0.43,3387.00,0.0128
293117737,1736300758,3382.56,0.45,3382.54,0.0132
293118802,1736301024,3379.25,0.46,3379.19,0.0135
293119802,1736301274,3384.02,0.48,3384.01,0.0142
293120858,1736301538,3389.36,0.49,3389.36,0.0146
293121866,1736301790,3383.53,0.50,3383.51,0.0149
293122878,1736302043,3393.42,0.52,3393.41,0.0154
293123887,1736302295,3401.24,0.54,3401.17,0.0160
293124891,1736302546,3398.58,0.56,3398.54,0.0165
293125980,1736302818,3394.10,0.57,3394.08,0.0167
293126997,1736303073,3399.19,0.58,3399.14,0.0170
293128008,1736303326,3393.89,0.59,3393.88,0.0174
293129033,1736303582,3395.00,0.61,3394.98,0.0179
293130166,1736303865,3395.15,0.61,3395.14,0.0179
293131181,1736304119,3392.84,0.62,3392.83,0.0184
293132259,1736304388,3387.83,0.63,3387.83,0.0187
293133296,1736304648,3385.51,0.64,3385.51,0.0190
293134308,1736304900,3385.73,0.65,3385.72,0.0190
293135321,1736305154,3381.91,0.65,3381.88,0.0193
293136341,1736305409,3371.93,0.70,3371.78,0.0205
293137342,1736305659,3362.83,0.79,3362.47,0.0232
293138344,1736305910,3366.70,0.83,3366.44,0.0246
293139347,1736306160,3370.42,0.87,3370.24,0.0255
293140361,1736306414,3374.93,0.88,3374.83,0.0260
293141367,1736306665,3385.03,0.90,3385.02,0.0265
293142394,1736306922,3374.91,0.92,3374.81,0.0270
293143434,1736307182,3372.81,0.93,3372.67,0.0273
293144543,1736307459,3370.15,0.96,3369.97,0.0283
293145559,1736307713,3364.45,0.99,3364.13,0.0291
293146568,1736307966,3352.12,1.04,3351.41,0.0306
293147586,1736308220,3349.63,1.10,3348.82,0.0323
293148586,1736308470,3349.66,1.13,3348.85,0.0334
293149641,1736308734,3360.82,1.15,3360.40,0.0341
293150654,1736308987,3348.45,1.19,3347.60,0.0351
293151770,1736309266,3362.91,1.22,3362.56,0.0360
293152924,1736309554,3366.81,1.24,3366.55,0.0367
293153932,1736309806,3362.20,1.26,3361.82,0.0372
293154980,1736310068,3353.80,1.28,3353.15,0.0379
293155992,1736310322,3350.90,1.31,3350.15,0.0386
293157006,1736310575,3359.58,1.34,3359.13,0.0395
293158064,1736310840,3352.62,1.36,3351.93,0.0401
293159123,1736311104,3358.07,1.40,3357.57,0.0412
293160131,1736311356,3350.21,1.41,3349.43,0.0417
293161136,1736311608,3348.41,1.46,3347.55,0.0430
293162164,1736311864,3346.35,1.48,3345.40,0.0436
293163178,1736312118,3348.15,1.51,3347.28,0.0444
293164179,1736312368,3347.28,1.52,3346.37,0.0449
293165199,1736312623,3352.03,1.54,3351.31,0.0456
293166200,1736312874,3344.29,1.59,3343.25,0.0469
293167201,1736313124,3353.10,1.62,3352.43,0.0479
293168209,1736313376,3364.45,1.66,3364.13,0.0490
293169215,1736313627,3366.28,1.68,3366.01,0.0495
293170275,1736313892,3366.93,1.69,3366.68,0.0497
293171295,1736314147,3370.61,1.70,3370.43,0.0501
293172300,1736314398,3366.16,1.70,3365.89,0.0503
293173309,1736314651,3363.33,1.71,3362.99,0.0505
293174406,1736314925,3366.58,1.72,3366.32,0.0507
293175452,1736315186,3365.11,1.72,3364.81,0.0508
293176529,1736315456,3352.19,1.76,3351.48,0.0518
293177564,1736315714,3352.05,1.78,3351.34,0.0526
293178566,1736315965,3351.80,1.79,3351.08,0.0529
293179633,1736316232,3360.36,1.81,3359.93,0.0535
293180650,1736316486,3351.51,1.83,3350.78,0.0539
293181652,1736316736,3352.94,1.83,3352.26,0.0540
293182652,1736316986,3342.26,1.85,3341.12,0.0545
293183680,1736317244,3338.87,1.88,3337.57,0.0555
293184695,1736317497,3338.69,1.92,3337.37,0.0565
293185722,1736317754,3339.51,1.94,3338.23,0.0572
293186725,1736318005,3339.01,2.02,3337.71,0.0595
293187758,1736318263,3317.12,2.09,3314.42,0.0617
293188777,1736318518,3326.54,2.17,3324.51,0.0641
293189783,1736318769,3322.08,2.20,3319.75,0.0648
293190814,1736319027,3311.01,2.25,3307.83,0.0665
293191850,1736319286,3310.31,2.31,3307.07,0.0683
293192860,1736319538,3311.35,2.41,3308.20,0.0712
293193879,1736319793,3322.38,2.46,3320.06,0.0725
293194882,1736320044,3327.22,2.48,3325.23,0.0732
293195932,1736320306,3332.43,2.49,3330.76,0.0736
293196950,1736320561,3323.41,2.51,3321.17,0.0742
293197966,1736320815,3333.37,2.54,3331.75,0.0749
293198973,1736321067,3329.39,2.54,3327.54,0.0751
293199980,1736321318,3337.79,2.58,3336.43,0.0760
293201057,1736321588,3335.40,2.58,3333.90,0.0763
293202087,1736321845,3338.04,2.59,3336.68,0.0765
293203114,1736322102,3342.21,2.60,3341.07,0.0768
293204121,1736322354,3346.24,2.62,3345.29,0.0772
293205162,1736322614,3349.57,2.63,3348.76,0.0777
293206163,1736322864,3354.29,2.65,3353.66,0.0783
293207235,1736323132,3353.65,2.66,3353.00,0.0784
293208265,1736323390,3354.14,2.68,3353.51,0.0790
293209280,1736323644,3351.53,2.68,3350.80,0.0791
293210283,1736323894,3361.24,2.71,3360.83,0.0798
293211290,1736324146,3368.69,2.72,3368.48,0.0803
293212321,1736324404,3363.78,2.75,3363.44,0.0812
293213432,1736324682,3364.25,2.76,3363.93,0.0813
293214439,1736324933,3362.78,2.76,3362.42,0.0814
293215444,1736325184,3367.73,2.77,3367.49,0.0818
293216516,1736325452,3368.51,2.78,3368.29,0.0819
293217632,1736325732,3372.04,2.78,3371.89,0.0821
293218639,1736325983,3371.03,2.79,3370.86,0.0824
293219695,1736326247,3370.61,2.79,3370.43,0.0824
293220733,1736326507,3370.47,2.79,3370.29,0.0824
293221733,1736326757,3364.88,2.81,3364.58,0.0828
293222857,1736327038,3369.19,2.81,3368.99,0.0830
293223883,1736327294,3366.31,2.82,3366.04,0.0833
293224887,1736327545,3367.51,2.83,3367.27,0.0836
293225925,1736327805,3371.44,2.84,3371.28,0.0839
293226926,1736328055,3370.20,2.84,3370.02,0.0839
293227933,1736328307,3368.58,2.85,3368.36,0.0840
293228933,1736328557,3361.64,2.87,3361.25,0.0846
293229989,1736328821,3357.63,2.88,3357.12,0.0849
293231000,1736329074,3356.84,2.89,3356.30,0.0851
293232031,1736329331,3362.10,2.90,3361.72,0.0855
293233034,1736329582,3359.70,2.90,3359.25,0.0856
293234045,1736329835,3355.43,2.91,3354.84,0.0858
293235049,1736330086,3354.15,2.92,3353.51,0.0861
293236051,1736330336,3349.01,2.94,3348.18,0.0867
293237068,1736330590,3353.87,2.96,3353.23,0.0875
293238148,1736330860,3354.98,2.97,3354.38,0.0875
293239149,1736331111,3352.03,2.97,3351.31,0.0877
293240163,1736331364,3360.45,3.00,3360.03,0.0885
293241166,1736331615,3361.59,3.01,3361.20,0.0888
293242175,1736331867,3363.20,3.01,3362.85,0.0889
293243190,1736332121,3363.46,3.04,3363.12,0.0896
293244194,1736332372,3357.64,3.04,3357.12,0.0898
293245221,1736332629,3362.29,3.06,3361.92,0.0902
293246259,1736332888,3358.15,3.06,3357.65,0.0904
293247324,1736333154,3355.97,3.07,3355.40,0.0906
293248394,1736333422,3358.18,3.08,3357.68,0.0908
293249397,1736333673,3359.91,3.08,3359.46,0.0909
293250461,1736333939,3361.51,3.09,3361.11,0.0911
293251469,1736334191,3364.50,3.09,3364.19,0.0913
293252474,1736334442,3358.28,3.10,3357.79,0.0915
293253514,1736334702,3351.01,3.11,3350.25,0.0918
293254618,1736334978,3353.04,3.12,3352.37,0.0920
293255719,1736335253,3349.99,3.12,3349.20,0.0921
293256733,1736335507,3349.66,3.12,3348.85,0.0921
293257768,1736335766,3342.37,3.14,3341.24,0.0928
293258794,1736336022,3331.18,3.23,3329.44,0.0954
293259803,1736336274,3326.82,3.26,3324.80,0.0963
293260806,1736336525,3341.18,3.30,3339.99,0.0975
293261814,1736336777,3349.73,3.33,3348.93,0.0982
293262817,1736337028,3352.65,3.35,3351.96,0.0989
293263867,1736337290,3348.12,3.36,3347.25,0.0990
293264867,1736337540,3346.74,3.36,3345.81,0.0993
293265956,1736337812,3353.34,3.39,3352.68,0.1000
293266978,1736338068,3357.84,3.40,3357.33,0.1004
293267986,1736338320,3354.56,3.41,3353.94,0.1007
293268987,1736338570,3355.11,3.42,3354.51,0.1010
293270012,1736338826,3350.91,3.45,3350.15,0.1017
293271015,1736339077,3350.53,3.46,3349.76,0.1021
293272032,1736339332,3347.37,3.48,3346.47,0.1025
293273045,1736339585,3346.94,3.49,3346.01,0.1031
293274049,1736339836,3351.57,3.52,3350.84,0.1038
293275148,1736340110,3350.28,3.52,3349.50,0.1040
293276153,1736340362,3341.64,3.55,3340.47,0.1048
293277162,1736340614,3348.34,3.57,3347.48,0.1054
293278252,1736340886,3339.64,3.58,3338.37,0.1057
293279277,1736341143,3353.37,3.62,3352.71,0.1067
293280279,1736341393,3362.71,3.67,3362.34,0.1083
293281286,1736341645,3352.78,3.69,3352.09,0.1089
293282313,1736341902,3356.73,3.71,3356.19,0.1094
293283323,1736342154,3358.24,3.74,3357.75,0.1103
293284336,1736342408,3359.00,3.77,3358.53,0.1113
293285340,1736342658,3363.81,3.78,3363.48,0.1116
293286340,1736342908,3355.66,3.80,3355.08,0.1120
293287361,1736343164,3358.52,3.82,3358.04,0.1127
293288408,1736343426,3355.51,3.83,3354.93,0.1130
293289509,1736343701,3358.74,3.85,3358.27,0.1136
293290509,1736343951,3355.86,3.86,3355.29,0.1138
293291585,1736344220,3355.99,3.88,3355.42,0.1146
293292677,1736344493,3360.92,3.90,3360.50,0.1150
293293713,1736344752,3359.01,3.90,3358.54,0.1152
293294760,1736345014,3362.91,3.94,3362.55,0.1163
293295764,1736345264,3355.58,3.96,3355.00,0.1168
293296772,1736345516,3357.79,3.98,3357.29,0.1173
293297835,1736345782,3361.26,3.99,3360.85,0.1177
293298917,1736346053,3358.80,3.99,3358.32,0.1178
293299922,1736346304,3362.65,4.01,3362.29,0.1183
293300946,1736346560,3355.37,4.05,3354.78,0.1195
293301946,1736346810,3372.78,4.17,3372.64,0.1232
293302948,1736347060,3356.93,4.23,3356.39,0.1249
293303954,1736347312,3365.79,4.30,3365.51,0.1269
293304954,1736347562,3362.06,4.38,3361.68,0.1293
293305955,1736347812,3358.15,4.44,3357.65,0.1310
293306955,1736348062,3366.82,4.48,3366.56,0.1322
293307955,1736348312,3372.72,4.51,3372.58,0.1331
293308956,1736348562,3382.60,4.56,3382.57,0.1347
293309968,1736348816,3372.95,4.60,3372.81,0.1358
293310969,1736349066,3356.76,4.63,3356.22,0.1366
293312008,1736349326,3355.23,4.69,3354.64,0.1383
293313020,1736349578,3343.03,4.73,3341.92,0.1395
293314074,1736349842,3351.44,4.77,3350.71,0.1408
293315074,1736350092,3345.61,4.79,3344.63,0.1414
293316075,1736350342,3345.90,4.85,3344.93,0.1432
