price,wide_weth_val,wide_usdc_val,base_weth_val,base_usdc_val,limit_weth_val,limit_usdc_val,rebalance_count
2553.37,255.22,254.94,2298.14,2293.29,0.00,5.14,0
2554.12,255.14,255.10,2296.39,2295.72,0.00,5.14,0
2554.56,255.09,255.19,2295.36,2297.15,0.00,5.14,0
2560.28,254.43,256.42,2282.06,2315.57,0.00,5.14,0
2561.49,254.29,256.68,2279.26,2319.44,0.00,5.14,0
2560.06,254.46,256.37,2282.59,2314.83,0.00,5.14,0
2557.42,254.76,255.80,2288.73,2306.34,0.00,5.14,0
2553.67,255.19,255.00,2297.43,2294.27,0.00,5.14,0
2557.14,254.79,255.75,2289.37,2305.46,0.00,5.14,0
2563.41,254.07,257.09,2274.79,2325.61,0.00,5.14,0
2556.74,254.84,255.66,2290.30,2304.17,0.00,5.14,0
2554.21,255.13,255.12,2296.18,2296.01,0.00,5.14,0
2561.05,254.34,256.58,2280.28,2318.02,0.00,5.14,0
2557.12,254.79,255.74,2289.42,2305.38,0.00,5.14,0
2559.96,254.47,256.35,2282.82,2314.52,0.00,5.14,0
2561.49,254.29,256.68,2279.25,2319.45,0.00,5.14,0
2565.09,253.88,257.45,2270.86,2331.04,0.00,5.14,0
2568.03,253.54,258.08,2264.01,2340.49,0.00,5.14,0
2557.02,254.80,255.72,2289.64,2305.07,0.00,5.14,0
2561.08,254.34,256.59,2280.20,2318.14,0.00,5.14,0
2557.36,254.77,255.79,2288.86,2306.16,0.00,5.14,0
2556.94,254.81,255.70,2289.84,2304.81,0.00,5.14,0
2555.30,255.00,255.35,2293.66,2299.51,0.00,5.14,0
2555.36,254.99,255.36,2293.50,2299.73,0.00,5.14,0
2552.34,255.34,254.72,2300.52,2289.99,0.01,5.13,0
2552.26,255.35,254.70,2300.71,2289.73,0.02,5.13,0
2563.79,254.03,257.17,2273.89,2326.86,0.00,5.14,0
2561.29,254.32,256.63,2279.71,2318.81,0.00,5.14,0
2562.85,254.14,256.97,2276.10,2323.81,0.00,5.14,0
2560.37,254.42,256.44,2281.85,2315.86,0.00,5.14,0
2561.43,254.30,256.66,2279.40,2319.25,0.00,5.14,0
2559.56,254.51,256.26,2283.73,2313.25,0.00,5.14,0
2557.35,254.77,255.79,2288.88,2306.13,0.00,5.14,0
2557.20,254.78,255.76,2289.24,2305.63,0.00,5.14,0
2556.02,254.92,255.50,2291.97,2301.85,0.00,5.14,0
2554.33,255.11,255.14,2295.90,2296.40,0.00,5.14,0
2554.67,255.07,255.21,2295.12,2297.48,0.00,5.14,0
2553.67,255.19,255.00,2297.43,2294.27,0.00,5.14,0
2555.49,254.98,255.39,2293.20,2300.15,0.00,5.14,0
